Drift
RAM Structural System
17.03.00.285
DataBase: 21
Building Code: IBC
Steel Code: IBC
06/17/22 17:44:05
CRITERIA:
Rigid End Zones:       Ignore Effects
Member Force Output:   At Face of Joint
P-Delta:,Yes,Scale Factor (DL):,1.20,Scale Factor (LL):,1.60
,,Scale Factor (Roof):,0.50,Scale Factor (Snow):,1.00
Ground Level:,Base
LOAD CASE DEFINITIONS:
D    ,DeadLoad       ,RAMUSER            
Lp   ,PosLiveLoad    ,RAMUSER            
Ln   ,NegLiveLoad    ,RAMUSER            
Rfp  ,PosRoofLiveLoad,RAMUSER            
Rfn  ,NegRoofLiveLoad,RAMUSER            
E1   ,EQ             ,EQ_ASCE716_X_+E_F  
E2   ,EQ             ,EQ_ASCE716_X_-E_F  
E3   ,EQ             ,EQ_ASCE716_Y_+E_F  
E4   ,EQ             ,EQ_ASCE716_Y_-E_F  
W1   ,WIND           ,Wind_ASCE716_1_X   
W2   ,WIND           ,Wind_ASCE716_1_Y   
W3   ,WIND           ,Wind_ASCE716_2_X+E 
W4   ,WIND           ,Wind_ASCE716_2_X-E 
W5   ,WIND           ,Wind_ASCE716_2_Y+E 
W6   ,WIND           ,Wind_ASCE716_2_Y-E 
W7   ,WIND           ,Wind_ASCE716_3_X+Y 
W8   ,WIND           ,Wind_ASCE716_3_X-Y 
W9   ,WIND           ,Wind_ASCE716_4_X+Y_CW
W10  ,WIND           ,Wind_ASCE716_4_X+Y_CCW
W11  ,WIND           ,Wind_ASCE716_4_X-Y_CW
W12  ,WIND           ,Wind_ASCE716_4_X-Y_CCW
E5   ,EQ_DRIFT       ,EQ_ASCE716_X_+E_Drft
E6   ,EQ_DRIFT       ,EQ_ASCE716_X_-E_Drft
E7   ,EQ_DRIFT       ,EQ_ASCE716_Y_+E_Drft
E8   ,EQ_DRIFT       ,EQ_ASCE716_Y_-E_Drft
W13  ,WIND_DRIFT     ,Wind_ASCE716_1_X   
W14  ,WIND_DRIFT     ,Wind_ASCE716_1_Y   
W15  ,WIND_DRIFT     ,Wind_ASCE716_2_X+E 
W16  ,WIND_DRIFT     ,Wind_ASCE716_2_X-E 
W17  ,WIND_DRIFT     ,Wind_ASCE716_2_Y+E 
W18  ,WIND_DRIFT     ,Wind_ASCE716_2_Y-E 
W19  ,WIND_DRIFT     ,Wind_ASCE716_3_X+Y 
W20  ,WIND_DRIFT     ,Wind_ASCE716_3_X-Y 
W21  ,WIND_DRIFT     ,Wind_ASCE716_4_X+Y_CW
W22  ,WIND_DRIFT     ,Wind_ASCE716_4_X+Y_CCW
W23  ,WIND_DRIFT     ,Wind_ASCE716_4_X-Y_CW
W24  ,WIND_DRIFT     ,Wind_ASCE716_4_X-Y_CCW
ND1  ,NOTIONAL       ,NL_AISC360_DL_X    
ND2  ,NOTIONAL       ,NL_AISC360_DL_Y    
NL1  ,NOTIONAL       ,NL_AISC360_LL_X    
NL2  ,NOTIONAL       ,NL_AISC360_LL_Y    
NR1  ,NOTIONAL       ,NL_AISC360_Rf_X    
NR2  ,NOTIONAL       ,NL_AISC360_Rf_Y    
RESULTS:
 Location  (ft): (180.000, -85.500)
 Story, LdC, Displacement, Story Drift, Drift Ratio
,, X, Y, X, Y, X, Y
, V2,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
Roof           ,  D,  0.0707, -0.0592,  0.0263, -0.0309,  0.0001,  0.0002
, Lp,  0.0670,  0.0061,  0.0261, -0.0024,  0.0001,  0.0000
, Ln,  0.0000, -0.0001,  0.0000, -0.0000,  0.0000,  0.0000
,Rfp,  0.0019, -0.0012,  0.0009, -0.0007,  0.0000,  0.0000
,Rfn,  0.0000, -0.0000,  0.0000, -0.0000,  0.0000,  0.0000
, E1,  2.8934,  0.8999,  0.4758,  0.1085,  0.0024,  0.0005
, E2,  5.2514,  4.5558,  0.8493,  0.6717,  0.0043,  0.0034
, E3,  2.3779,  5.2170,  0.3789,  0.8842,  0.0019,  0.0045
, E4, -0.2939,  1.0746, -0.0434,  0.2476,  0.0002,  0.0013
, W1,  1.4994,  1.0958,  0.3214,  0.2170,  0.0016,  0.0011
, W2,  0.8011,  2.3902,  0.1679,  0.5321,  0.0008,  0.0027
, W3,  0.8169,  0.3435,  0.1826,  0.0728,  0.0009,  0.0004
, W4,  1.4321,  1.3002,  0.2994,  0.2527,  0.0015,  0.0013
, W5,  1.8716,  3.7712,  0.3730,  0.7804,  0.0019,  0.0039
, W6, -0.6700, -0.1858, -0.1211,  0.0177,  0.0006,  0.0001
, W7,  1.7254,  2.6145,  0.3670,  0.5618,  0.0019,  0.0028
, W8,  0.5237, -0.9708,  0.1151, -0.2363,  0.0006,  0.0012
, W9,  0.1102,  0.1183,  0.0461,  0.0679,  0.0002,  0.0003
,W10,  2.4778,  3.8035,  0.5043,  0.7748,  0.0025,  0.0039
,W11, -0.7910, -2.5708, -0.1428, -0.5307,  0.0007,  0.0027
,W12,  1.5766,  1.1145,  0.3154,  0.1762,  0.0016,  0.0009
, E5,  1.8272,  0.5584,  0.3158,  0.0683,  0.0016,  0.0003
, E6,  3.3210,  2.8722,  0.5643,  0.4443,  0.0028,  0.0022
, E7,  1.7951,  3.9425,  0.2937,  0.6859,  0.0015,  0.0035
, E8, -0.2249,  0.8123, -0.0343,  0.1903,  0.0002,  0.0010
,W13,  0.6791,  0.4993,  0.1472,  0.1003,  0.0007,  0.0005
,W14,  0.3715,  1.1070,  0.0784,  0.2478,  0.0004,  0.0013
,W15,  0.3759,  0.1669,  0.0845,  0.0353,  0.0004,  0.0002
,W16,  0.6427,  0.5821,  0.1363,  0.1152,  0.0007,  0.0006
,W17,  0.8793,  1.7653,  0.1762,  0.3671,  0.0009,  0.0019
,W18, -0.3220, -0.1049, -0.0586,  0.0045,  0.0003,  0.0000
,W19,  0.7880,  1.2047,  0.1692,  0.2611,  0.0009,  0.0013
,W20,  0.2307, -0.4557,  0.0516, -0.1106,  0.0003,  0.0006
,W21,  0.0404,  0.0466,  0.0194,  0.0299,  0.0001,  0.0002
,W22,  1.1415,  1.7605,  0.2344,  0.3618,  0.0012,  0.0018
,W23, -0.3776, -1.1988, -0.0688, -0.2489,  0.0003,  0.0013
,W24,  0.7235,  0.5152,  0.1462,  0.0830,  0.0007,  0.0004
,ND1,  0.1516,  0.1024,  0.0193,  0.0119,  0.0001,  0.0001
,ND2,  0.0399,  0.1177,  0.0052,  0.0171,  0.0000,  0.0001
,NL1,  0.0536,  0.0264,  0.0056,  0.0018,  0.0000,  0.0000
,NL2,  0.0151,  0.0471,  0.0021,  0.0069,  0.0000,  0.0000
,NR1,  0.0068,  0.0057,  0.0021,  0.0016,  0.0000,  0.0000
,NR2,  0.0013,  0.0041,  0.0004,  0.0013,  0.0000,  0.0000
, V1,  0.8433,  1.4630,  0.0188,  0.0318,  0.0001,  0.0002
, V2,  1.2863,  1.4329,  0.0458,  0.0443,  0.0002,  0.0002
Level 5        ,  D,  0.0443, -0.0283,  0.0170, -0.0210,  0.0001,  0.0001
, Lp,  0.0409,  0.0085,  0.0153, -0.0041,  0.0001,  0.0000
, Ln,  0.0000, -0.0000,  0.0000, -0.0000,  0.0000,  0.0000
,Rfp,  0.0009, -0.0005,  0.0005, -0.0002,  0.0000,  0.0000
,Rfn,  0.0000, -0.0000,  0.0000, -0.0000,  0.0000,  0.0000
, E1,  2.4176,  0.7914,  0.5420,  0.1888,  0.0032,  0.0011
, E2,  4.4021,  3.8841,  0.9816,  0.8510,  0.0058,  0.0051
, E3,  1.9990,  4.3328,  0.4472,  1.0054,  0.0027,  0.0060
, E4, -0.2505,  0.8270, -0.0510,  0.2549,  0.0003,  0.0015
, W1,  1.1780,  0.8788,  0.2840,  0.2179,  0.0017,  0.0013
, W2,  0.6332,  1.8582,  0.1539,  0.4753,  0.0009,  0.0028
, W3,  0.6343,  0.2707,  0.1558,  0.0776,  0.0009,  0.0005
, W4,  1.1327,  1.0476,  0.2702,  0.2493,  0.0016,  0.0015
, W5,  1.4986,  2.9908,  0.3523,  0.7120,  0.0021,  0.0042
, W6, -0.5488, -0.2035, -0.1214,  0.0009,  0.0007,  0.0000
, W7,  1.3584,  2.0528,  0.3284,  0.5199,  0.0020,  0.0031
, W8,  0.4086, -0.7345,  0.0975, -0.1930,  0.0006,  0.0011
, W9,  0.0641,  0.0504,  0.0257,  0.0588,  0.0002,  0.0004
,W10,  1.9735,  3.0287,  0.4669,  0.7210,  0.0028,  0.0043
,W11, -0.6482, -2.0401, -0.1474, -0.4758,  0.0009,  0.0028
,W12,  1.2612,  0.9383,  0.2937,  0.1863,  0.0017,  0.0011
, E5,  1.5114,  0.4901,  0.3506,  0.1193,  0.0021,  0.0007
, E6,  2.7567,  2.4279,  0.6358,  0.5495,  0.0038,  0.0033
, E7,  1.5014,  3.2566,  0.3422,  0.7704,  0.0020,  0.0046
, E8, -0.1906,  0.6220, -0.0396,  0.1948,  0.0002,  0.0012
,W13,  0.5319,  0.3990,  0.1291,  0.0996,  0.0008,  0.0006
,W14,  0.2931,  0.8592,  0.0715,  0.2204,  0.0004,  0.0013
,W15,  0.2914,  0.1316,  0.0719,  0.0374,  0.0004,  0.0002
,W16,  0.5065,  0.4669,  0.1217,  0.1120,  0.0007,  0.0007
,W17,  0.7030,  1.3982,  0.1658,  0.3337,  0.0010,  0.0020
,W18, -0.2634, -0.1094, -0.0585, -0.0031,  0.0003,  0.0000
,W19,  0.6188,  0.9437,  0.1504,  0.2400,  0.0009,  0.0014
,W20,  0.1791, -0.3451,  0.0432, -0.0906,  0.0003,  0.0005
,W21,  0.0210,  0.0167,  0.0101,  0.0257,  0.0001,  0.0002
,W22,  0.9071,  1.3988,  0.2156,  0.3343,  0.0013,  0.0020
,W23, -0.3087, -0.9499, -0.0704, -0.2222,  0.0004,  0.0013
,W24,  0.5774,  0.4322,  0.1352,  0.0863,  0.0008,  0.0005
,ND1,  0.1323,  0.0905,  0.0244,  0.0172,  0.0001,  0.0001
,ND2,  0.0347,  0.1006,  0.0066,  0.0203,  0.0000,  0.0001
,NL1,  0.0480,  0.0246,  0.0083,  0.0043,  0.0000,  0.0000
,NL2,  0.0131,  0.0403,  0.0026,  0.0082,  0.0000,  0.0000
,NR1,  0.0047,  0.0041,  0.0015,  0.0013,  0.0000,  0.0000
,NR2,  0.0009,  0.0028,  0.0003,  0.0009,  0.0000,  0.0000
, V1,  0.8244,  1.4312,  0.0270,  0.0360,  0.0002,  0.0002
, V2,  1.2405,  1.3887,  0.1159,  0.1255,  0.0007,  0.0007
Level 4        ,  D,  0.0273, -0.0073,  0.0081, -0.0200,  0.0000,  0.0001
, Lp,  0.0257,  0.0126,  0.0071, -0.0070,  0.0000,  0.0000
, Ln,  0.0000, -0.0000,  0.0000, -0.0000,  0.0000,  0.0000
,Rfp,  0.0004, -0.0003,  0.0002, -0.0002,  0.0000,  0.0000
,Rfn,  0.0000, -0.0000,  0.0000, -0.0000,  0.0000,  0.0000
, E1,  1.8756,  0.6026,  0.7046,  0.3066,  0.0042,  0.0018
, E2,  3.4205,  3.0331,  1.2849,  1.1679,  0.0076,  0.0070
, E3,  1.5518,  3.3274,  0.5798,  1.2009,  0.0035,  0.0071
, E4, -0.1995,  0.5721, -0.0779,  0.2247,  0.0005,  0.0013
, W1,  0.8940,  0.6609,  0.3345,  0.2670,  0.0020,  0.0016
, W2,  0.4792,  1.3829,  0.1767,  0.4971,  0.0011,  0.0030
, W3,  0.4785,  0.1931,  0.1797,  0.0949,  0.0011,  0.0006
, W4,  0.8625,  0.7982,  0.3221,  0.3055,  0.0019,  0.0018
, W5,  1.1463,  2.2787,  0.4229,  0.8018,  0.0025,  0.0048
, W6, -0.4274, -0.2044, -0.1579, -0.0562,  0.0009,  0.0003
, W7,  1.0299,  1.5328,  0.3834,  0.5730,  0.0023,  0.0034
, W8,  0.3111, -0.5415,  0.1183, -0.1726,  0.0007,  0.0010
, W9,  0.0384, -0.0085,  0.0163,  0.0290,  0.0001,  0.0002
,W10,  1.5066,  2.3077,  0.5587,  0.8305,  0.0033,  0.0049
,W11, -0.5008, -1.5642, -0.1824, -0.5301,  0.0011,  0.0032
,W12,  0.9674,  0.7520,  0.3600,  0.2713,  0.0021,  0.0016
, E5,  1.1608,  0.3708,  0.4440,  0.1899,  0.0026,  0.0011
, E6,  2.1209,  1.8784,  0.8109,  0.7349,  0.0048,  0.0044
, E7,  1.1592,  2.4862,  0.4374,  0.9077,  0.0026,  0.0054
, E8, -0.1509,  0.4272, -0.0596,  0.1699,  0.0004,  0.0010
,W13,  0.4028,  0.2994,  0.1511,  0.1211,  0.0009,  0.0007
,W14,  0.2216,  0.6388,  0.0818,  0.2299,  0.0005,  0.0014
,W15,  0.2195,  0.0942,  0.0827,  0.0455,  0.0005,  0.0003
,W16,  0.3848,  0.3548,  0.1440,  0.1362,  0.0009,  0.0008
,W17,  0.5372,  1.0645,  0.1985,  0.3750,  0.0012,  0.0022
,W18, -0.2048, -0.1063, -0.0758, -0.0301,  0.0005,  0.0002
,W19,  0.4683,  0.7036,  0.1747,  0.2633,  0.0010,  0.0016
,W20,  0.1359, -0.2545,  0.0520, -0.0816,  0.0003,  0.0005
,W21,  0.0110, -0.0090,  0.0052,  0.0116,  0.0000,  0.0001
,W22,  0.6915,  1.0645,  0.2569,  0.3834,  0.0015,  0.0023
,W23, -0.2383, -0.7277, -0.0868, -0.2471,  0.0005,  0.0015
,W24,  0.4422,  0.3459,  0.1648,  0.1247,  0.0010,  0.0007
,ND1,  0.1078,  0.0733,  0.0361,  0.0275,  0.0002,  0.0002
,ND2,  0.0282,  0.0803,  0.0093,  0.0255,  0.0001,  0.0002
,NL1,  0.0397,  0.0203,  0.0131,  0.0081,  0.0001,  0.0000
,NL2,  0.0105,  0.0320,  0.0036,  0.0103,  0.0000,  0.0001
,NR1,  0.0032,  0.0028,  0.0014,  0.0012,  0.0000,  0.0000
,NR2,  0.0006,  0.0019,  0.0003,  0.0008,  0.0000,  0.0000
, V1,  0.7974,  1.3952,  0.1160,  0.1543,  0.0007,  0.0009
, V2,  1.1246,  1.2632,  0.4194,  0.4658,  0.0025,  0.0028
Level 3        ,  D,  0.0193,  0.0127,  0.0076, -0.0089,  0.0000,  0.0001
, Lp,  0.0185,  0.0197,  0.0073, -0.0014,  0.0000,  0.0000
, Ln,  0.0000, -0.0000,  0.0000, -0.0000,  0.0000,  0.0000
,Rfp,  0.0002, -0.0001,  0.0001, -0.0001,  0.0000,  0.0000
,Rfn,  0.0000, -0.0000,  0.0000, -0.0000,  0.0000,  0.0000
, E1,  1.1710,  0.2959,  0.7819,  0.3842,  0.0047,  0.0023
, E2,  2.1356,  1.8652,  1.4411,  1.3479,  0.0086,  0.0080
, E3,  0.9720,  2.1265,  0.6541,  1.2396,  0.0039,  0.0074
, E4, -0.1216,  0.3474, -0.0932,  0.1471,  0.0006,  0.0009
, W1,  0.5595,  0.3939,  0.3723,  0.3064,  0.0022,  0.0018
, W2,  0.3025,  0.8859,  0.1974,  0.4862,  0.0012,  0.0029
, W3,  0.2989,  0.0982,  0.1974,  0.1103,  0.0012,  0.0007
, W4,  0.5404,  0.4927,  0.3610,  0.3493,  0.0021,  0.0021
, W5,  0.7233,  1.4770,  0.4827,  0.8531,  0.0029,  0.0051
, W6, -0.2695, -0.1482, -0.1866, -0.1239,  0.0011,  0.0007
, W7,  0.6466,  0.9598,  0.4273,  0.5945,  0.0025,  0.0035
, W8,  0.1927, -0.3690,  0.1311, -0.1348,  0.0008,  0.0008
, W9,  0.0220, -0.0375,  0.0081, -0.0102,  0.0000,  0.0001
,W10,  0.9478,  1.4772,  0.6328,  0.9019,  0.0038,  0.0054
,W11, -0.3183, -1.0341, -0.2140, -0.5571,  0.0013,  0.0033
,W12,  0.6075,  0.4806,  0.4107,  0.3549,  0.0024,  0.0021
, E5,  0.7168,  0.1809,  0.4812,  0.2340,  0.0029,  0.0014
, E6,  1.3100,  1.1435,  0.8884,  0.8292,  0.0053,  0.0049
, E7,  0.7218,  1.5784,  0.4871,  0.9243,  0.0029,  0.0055
, E8, -0.0914,  0.2573, -0.0702,  0.1098,  0.0004,  0.0007
,W13,  0.2517,  0.1783,  0.1676,  0.1384,  0.0010,  0.0008
,W14,  0.1398,  0.4088,  0.0913,  0.2245,  0.0005,  0.0013
,W15,  0.1368,  0.0487,  0.0905,  0.0524,  0.0005,  0.0003
,W16,  0.2408,  0.2187,  0.1609,  0.1552,  0.0010,  0.0009
,W17,  0.3388,  0.6894,  0.2262,  0.3987,  0.0013,  0.0024
,W18, -0.1291, -0.0762, -0.0893, -0.0619,  0.0005,  0.0004
,W19,  0.2936,  0.4403,  0.1941,  0.2722,  0.0012,  0.0016
,W20,  0.0839, -0.1729,  0.0572, -0.0646,  0.0003,  0.0004
,W21,  0.0058, -0.0206,  0.0009, -0.0071,  0.0000,  0.0000
,W22,  0.4346,  0.6811,  0.2903,  0.4154,  0.0017,  0.0025
,W23, -0.1515, -0.4805, -0.1018, -0.2597,  0.0006,  0.0015
,W24,  0.2774,  0.2212,  0.1876,  0.1628,  0.0011,  0.0010
,ND1,  0.0717,  0.0458,  0.0462,  0.0366,  0.0003,  0.0002
,ND2,  0.0188,  0.0548,  0.0119,  0.0286,  0.0001,  0.0002
,NL1,  0.0266,  0.0122,  0.0171,  0.0114,  0.0001,  0.0001
,NL2,  0.0069,  0.0217,  0.0044,  0.0114,  0.0000,  0.0001
,NR1,  0.0019,  0.0016,  0.0013,  0.0012,  0.0000,  0.0000
,NR2,  0.0004,  0.0011,  0.0002,  0.0006,  0.0000,  0.0000
, V1,  0.6814,  1.2409,  0.4473,  0.7203,  0.0027,  0.0043
, V2,  0.7052,  0.7974,  0.4841,  0.5419,  0.0029,  0.0032
Level 2        ,  D,  0.0116,  0.0216,  0.0116,  0.0216,  0.0001,  0.0001
, Lp,  0.0112,  0.0211,  0.0112,  0.0211,  0.0001,  0.0001
, Ln,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
,Rfp,  0.0000, -0.0000,  0.0000, -0.0000,  0.0000,  0.0000
,Rfn,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
, E1,  0.3892, -0.0883,  0.3892, -0.0883,  0.0020,  0.0005
, E2,  0.6945,  0.5173,  0.6945,  0.5173,  0.0036,  0.0027
, E3,  0.3178,  0.8869,  0.3178,  0.8869,  0.0017,  0.0046
, E4, -0.0284,  0.2003, -0.0284,  0.2003,  0.0001,  0.0010
, W1,  0.1873,  0.0875,  0.1873,  0.0875,  0.0010,  0.0005
, W2,  0.1051,  0.3997,  0.1051,  0.3997,  0.0005,  0.0021
, W3,  0.1015, -0.0121,  0.1015, -0.0121,  0.0005,  0.0001
, W4,  0.1794,  0.1434,  0.1794,  0.1434,  0.0009,  0.0007
, W5,  0.2406,  0.6238,  0.2406,  0.6238,  0.0013,  0.0032
, W6, -0.0829, -0.0243, -0.0829, -0.0243,  0.0004,  0.0001
, W7,  0.2193,  0.3654,  0.2193,  0.3654,  0.0011,  0.0019
, W8,  0.0616, -0.2341,  0.0616, -0.2341,  0.0003,  0.0012
, W9,  0.0139, -0.0273,  0.0139, -0.0273,  0.0001,  0.0001
,W10,  0.3150,  0.5754,  0.3150,  0.5754,  0.0016,  0.0030
,W11, -0.1043, -0.4770, -0.1043, -0.4770,  0.0005,  0.0025
,W12,  0.1967,  0.1258,  0.1967,  0.1258,  0.0010,  0.0007
, E5,  0.2357, -0.0530,  0.2357, -0.0530,  0.0012,  0.0003
, E6,  0.4215,  0.3144,  0.4215,  0.3144,  0.0022,  0.0016
, E7,  0.2347,  0.6542,  0.2347,  0.6542,  0.0012,  0.0034
, E8, -0.0212,  0.1475, -0.0212,  0.1475,  0.0001,  0.0008
,W13,  0.0841,  0.0399,  0.0841,  0.0399,  0.0004,  0.0002
,W14,  0.0485,  0.1843,  0.0485,  0.1843,  0.0003,  0.0010
,W15,  0.0462, -0.0037,  0.0462, -0.0037,  0.0002,  0.0000
,W16,  0.0799,  0.0635,  0.0799,  0.0635,  0.0004,  0.0003
,W17,  0.1126,  0.2908,  0.1126,  0.2908,  0.0006,  0.0015
,W18, -0.0398, -0.0143, -0.0398, -0.0143,  0.0002,  0.0001
,W19,  0.0995,  0.1681,  0.0995,  0.1681,  0.0005,  0.0009
,W20,  0.0267, -0.1083,  0.0267, -0.1083,  0.0001,  0.0006
,W21,  0.0049, -0.0136,  0.0049, -0.0136,  0.0000,  0.0001
,W22,  0.1444,  0.2657,  0.1444,  0.2657,  0.0008,  0.0014
,W23, -0.0497, -0.2209, -0.0497, -0.2209,  0.0003,  0.0012
,W24,  0.0898,  0.0584,  0.0898,  0.0584,  0.0005,  0.0003
,ND1,  0.0255,  0.0092,  0.0255,  0.0092,  0.0001,  0.0000
,ND2,  0.0069,  0.0262,  0.0069,  0.0262,  0.0000,  0.0001
,NL1,  0.0095,  0.0008,  0.0095,  0.0008,  0.0000,  0.0000
